word,word_normalized,num_raw_variants
aɽəŋajt̪i,aɽəŋajt̪i,1
aɽəŋajt̪ɜlo,aɽəŋajt̪ɜlo,1
aɽəŋat̪ɜlo,aɽəŋat̪ɜlo,1
àbùt̪á,àbòt̪á,1
àbrá,àbr̀á,1
àbrú,àbr̀ó,1
àbrt̪á,àbr̀t̪á,1
àbùðàt̪á,àbùðàt̪á,1
àbùðá,àbùðá,1
àbðɔ́,àbùðɔ́,1
àdám,àdám,2
àdàm,àdám,2
àdámá,àdámá,2
àdámà,àdámá,2
àŋɔ̀ŋnìjɔ́,àdɔ̀ŋɔ̀nìjɔ́,1
àdə̀ɽɔ̀l,àdə̀ɽɔ̀l,1
àjá,àjá,1
àjènɛ́,àjènɛ́,2
àjènɛ̀,àjènɛ́,2
àjɛ̌n,àjén,4
àjɛ̀n,àjén,4
àjén,àjén,4
àjɛ́n,àjén,4
ǎj,àjú,1
àlbríð,àlbríð,1
àlbɾíðɔ́,àlbɾíðɔ́,2
àlbrìðɔ̀,àlbɾíðɔ́,2
àlbédá,àlèŋá,2
àlə̀ŋá,àlèŋá,2
àlkúrcì,àlkúrcì,1
àlkùrcɛ́,àlkúɾcɛ́,2
àlkúɾcɛ́,àlkúɾcɛ́,2
àlmúndù,àlmúndù,2
àlmúndɔ̀,àlmúndù,2
àlmúnd̪ɔ̀,àlmúnd̪ɔ̀,1
àlú,àlú,2
àlò,àlú,2
àmàcá,àmàcá,1
àmàðèðùní,àmàcìðú,1
àmál,àmál,1
àmìɲá,àmìɲá,1
sàmìɲí,àmìɲí,1
àn,àn,11
ǎn,àn,11
án,àn,11
àń,àn,11
ànɛ́,àn,11
áń,àn,11
àǹ,àn,11
ɜ̀n,àn,11
ànə̀,àn,11
ànɲá,àn,11
ànɲà,àn,11
àprat̪ɔ̀,àpàt̪ɔ́,1
àpá,àpá,2
àɲɲǎ,àpá,2
àpìt̪í,àpìjí,1
àpìt̪ɔ́,àpìt̪ɔ́,1
àprí,àpɾí,6
àpɾí,àpɾí,6
àprì,àpɾí,6
àpɾì,àpɾí,6
àpríàɔ̀,àpɾí,6
à̀prí,àpɾí,6
àpɾíɲá,àpɾíɲá,9
àpɾíɲà,àpɾíɲá,9
àprìɲà,àpɾíɲá,9
àpɾíɲâ,àpɾíɲá,9
àpɾíɲǎ,àpɾíɲá,9
àpríɲá,àpɾíɲá,9
àpríɲà,àpɾíɲá,9
àpɾìɲá,àpɾíɲá,9
àprɛ̀ɲà,àpɾíɲá,9
àré,àré,1
àt̪ùɟájɛ̀,àt̪ùɟájɛ́,2
àt̪ùɟájɛ́,àt̪ùɟájɛ́,2
àt̪ùɟáì,àt̪ùɟâj,2
àt̪uɟáj,àt̪ùɟâj,2
àúr,àúr,3
àòr,àúr,3
àór,àúr,3
àúɾɛ́,àúɾɛ́,3
àùɾɛ̀,àúɾɛ́,3
ɜ̀ùɾ,àúɾɛ́,3
àvàlá,àvàlà,3
àvàlà,àvàlà,3
ɛ̀vàlá,àvàlà,3
àvàn,àvàn,2
sàdàn,àvàn,2
ànt̪á,àvt̪á,1
ɛ̀və̀là,àvə̀lá,3
àvlǎ,àvə̀lá,3
àvlà,àvə̀lá,3
̀àvə̀ðàcá,àvə̀ðàcá,1
àvɟìgɛ̀,àvɟìgɛ́,5
