word,word_normalized,num_raw_variants
ə,@,1
əðəò,@d@o,1
ə̀ndrí,@ndri,1
ə̀ŋnà,@ngna,2
ə̀ŋná,@ngna,2
ə̀rdá,@rda,1
ə́rdɔ́,@rdo,2
ə́rðɔ́,@rdo,2
ə́rlɛ́ɲí,@rleni,1
ə̀rlɔ̀ɲɔ́,@rlono,1
á,a,5
a,a,5
à,a,5
ǎ,a,5
á́,a,5
áà,aa,3
áá,aa,3
aa,aa,3
aáŋî,aangi,1
aár,aar,1
ábə́ðɔ́,ab@do,1
ábá,aba,1
àbðɔ́,abdo,1
àbðôl,abdol,1
ábɔ́ðà,aboda,1
àbrá,abra,1
ábró,abro,2
ábrô,abro,2
àbrt̪á,abrta,1
ábrt̪ɔ́,abrto,2
ábŕtɔ́,abrto,2
àbrú,abru,2
ábrú,abru,2
àbùðá,abuda,1
àbùðàt̪á,abudata,1
ábúðát̪ɔ́,abudato,1
ábúðú,abudu,3
âbùðú,abudu,3
ábùðú,abudu,3
àbùt̪á,abuta,1
ábút̪ɔ́,abuto,1
ácám,acam,1
ácámá,acama,1
àðə̀ɲɛ́n,ad@nen,1
àðə̀ɲɛ́nɛ́,ad@nene,1
ádə́ɽálɛ̂,ad@rale,1
àdə̀ɽɔ̀l,ad@rol,1
ádə́ɽɔ́lɛ́,ad@role,1
àðá,ada,2
àðà,ada,2
àdàm,adam,5
ádàm,adam,5
adam,adam,5
àdám,adam,5
ádám,adam,5
àdámá,adama,2
àdámà,adama,2
aðáprá,adapra,1
àððà,adda,1
àððàt̪à,addata,1
ádðɛ́,adde,1
àðɛ́,ade,1
ádɛ̀ŋnɛ̀,adengne,2
ádɛ̀ŋnɛ̌,adengne,2
àdɔ́ŋðà,adongda,1
ádɔ́ŋðɛ̀,adongde,1
âdɔ̀ŋnà,adongna,2
ádɔ̀ŋnǎ,adongna,2
àdɔ̀ŋnɛ̀,adongne,1
àdɔ̀ŋnɔ́,adongno,5
âdɔ̀ŋnɔ́,adongno,5
àdɔ̀ŋnɔ̀,adongno,5
ádɔ̀ŋnɔ̀,adongno,5
ádɔ́ŋnɔ́,adongno,5
ádɔ́ŋɔ́nɔ́,adongono,1
ádɔ̀ŋt̪íŋì,adongtingi,1
ád̪ùɾì,aduri,3
àd̪úɾì,aduri,3
àd̪úɾǐ,aduri,3
ádùrú,aduru,1
áɛ,ae,1
áfàn,afan,1
ágáð,agad,1
ágáðɛ́gàɾǎ,agadegara,2
ágáðɛ́gàɾà,agadegara,2
ágád̪úrɔ̀,agaduro,4
ágád̪úrɔ́,agaduro,4
ágádúró,agaduro,4
ágádúrɔ̀,agaduro,4
ágágâra,agagara,2
ágágâɾǎ,agagara,2
ágáŋî,agangi,2
ágáŋî́,agangi,2
ágáŋîí,agangii,1
ágáŋîjàjàt̪à,agangijajata,1
ágáŋîjàt̪à,agangijata,1
ágáŋîmàt̪à,agangimata,1
ágáŋîvə̀lɛ̀ðà,agangiv@leda,1
ágáŋîvə̀lɛ̀ðɛ̌,agangiv@lede,2
ágáŋîvə̀lɛ̀ðɛ̀,agangiv@lede,2
ǎgáŋîvlɛ̀ðɔ́,agangivledo,2
ágáŋîvlɛ̀ðɔ́,agangivledo,2
ágánɔ̂nà,aganona,3
ǎgánɔ̂nǎ,aganona,3
ágánɔ́nà,aganona,3
ágárŋɔ̀,agarngo,1
ágârŋú,agarngu,1
ágàrù,agaru,2
ágàrǔ,agaru,2
ágát̪ə̀vɔ́,agat@vo,1
ágátɛ́və́lɛ̂ðɛ̀,agatev@lede,1
ágátɛ́və́lɛ̂ðɛ̌r,agatev@leder,1
ágávə́lɛ̂ðɛ̌,agav@lede,2
ágávə́lɛ̂ðɛ̀,agav@lede,2
ágâvə̀lɛ̀ðɔ́,agav@ledo,1
ágɛ́là,agela,1
ágéɲár,agenar,1
ágéɲárvə́lɛ̂ðɔ́,agenarv@ledo,1
ágílà,agila,1
ágíɲárɛ́və́lɛ̀ðà,aginarev@leda,1
ágíɲárvə́lɛ̀ðà,aginarv@leda,2
ágíɲárvə̀lɛ̀ðà,aginarv@leda,2
ágíɲárvə́lɛ̂ðɛ̀,aginarv@lede,1
ágó,ago,1
ágǒw,agow,1
aíjɔ́,aijo,1
áíɲár,ainar,1
àít̪éɲáré,aitenare,1
àìt̪íŋì,aitingi,1
àít̪ɔ́,aito,2
áít̪ɔ́,aito,2
aj,aj,2
ǎj,aj,2
àɟà,aja,3
àjá,aja,3
ájà,aja,3
ájáŋ̀,ajang,1
ájàŋá,ajanga,2
ájàŋà,ajanga,2
ájáŋrɛ́,ajangre,1
ájàŋú,ajangu,1
áját̪à,ajata,1
àjɛ́n,ajen,6
àjén,ajen,6
ájɛ́n,ajen,6
àjɛ̀n,ajen,6
àjɛ̌n,ajen,6
ájɛ̌n,ajen,6
àjènɛ̀,ajene,2
àjènɛ́,ajene,2
àjín,ajin,1
àjìnɛ̀,ajine,1
ájít̪ɔ́,ajito,1
ájnɛ́,ajne,1
áɟó,ajo,1
àjóŋərɛ̀,ajong@re,1
áɟɔ́ŋá,ajonga,1
àjóŋò,ajongo,1
âjt̪ɔ́,ajto,1
ájú,aju,1
ákád̪úrɔ̀,akaduro,2
ákád̪úrɔ́,akaduro,2
àkáɽə̀ŋàt̪ǎ,akar@ngata,2
àkáɽə̀ŋàt̪à,akar@ngata,2
akàrt̪ìnídí,akartinidi,1
ákɛ̀,ake,1
ákɛsa,akesa,1
àl,al,3
ǎl,al,3
ál,al,3
àlə̀ŋá,al@nga,1
álə́ŋɔ́,al@ngo,1
áláðə́gârà,alad@gara,1
áláðə́gârár,alad@garar,2
áláðə́gâràr,alad@garar,2
áláðɛ́gâɾǎ,aladegara,1
áláðɛ́lǎ,aladela,1
álágârá,alagara,2
álágârà,alagara,2
álágâràr,alagarar,1
álakə́lcà,alak@lca,1
áláɽə̀ŋàt̪à,alar@ngata,2
áláɽə̀ŋàt̪ǎ,alar@ngata,2
áláɽə̀ŋàt̪ǎr,alar@ngatar,1
álárɛ́,alare,1
álávə́lɛ̂ðɛ̌,alav@lede,2
álávə́lɛ̂ðɛ̀,alav@lede,2
álávə́lɛ̂ðɛ́r,alav@leder,1
álâvə̀lɛ̀ðɔ́,alav@ledo,1
álâvə̀lɛ̀ðɔ́r,alav@ledor,1
àláwú,alawu,1
àlbédá,albeda,1
àlbríð,albrid,1
àlbɾíðɔ́,albrido,5
álbríðɔ́,albrido,5
álbríðɔ̀,albrido,5
àlbrìðɔ̀,albrido,5
álbrìðɔ̀,albrido,5
áldɔ́ŋðà,aldongda,1
áldɔ́ŋðɛ̀,aldongde,1
álɛ̀,ale,5
álɛ́,ale,5
àlè,ale,5
alɛ̀,ale,5
álɛ̌,ale,5
álɛ́là,alela,2
àlɛ́là,alela,2
álɛ́làŕ,alelar,1
álɜ́úr,aleur,1
álkə́lcà,alk@lca,1
álkə́lcì,alk@lci,1
àlkùrcɛ́,alkurce,3
álkùrcɛ́,alkurce,3
àlkúɾcɛ́,alkurce,3
àlkúrcì,alkurci,2
álkúrcì,alkurci,2
állárɔ́,allaro,1
állárɔ́ðà,allaroda,1
állów,allow,1
àlmúnd̪ɔ̀,almundo,2
àlmúndɔ̀,almundo,2
àlmúndù,almundu,1
