index,word,token_count,lemma,phrase_count
0,íŋgá,1829,ŋgá,636
1,ɾɔ́ðà,44,ɾɔð,11
2,lə̀və̀lɛ̀ðɜ́lló,19,vəlɛð,1
3,únɛ́ɾɛ́,1123,ùnɛ́ɾɛ́,395
4,láló,47,ŋgá,10
5,və́lɛ̀ðà,616,vəlɛð,188
6,nd̪ɔ̀bàgɛ̀,467,nd̪ɔ̀bàgɛ̀,166
7,lə̀və̀lɛ̀ðɛ́ló,12,vəlɛð,1
8,kə̀və̀lɛ̀ðɔ́l,14,vəlɛð,3
9,ùnɛ́ɾɛ́,2207,ùnɛ́ɾɛ́,799
10,èɽò,21,r̀ɽò,7
11,jìcə̀lò,135,icəlo,42
12,lɛ̀ĺ,24,ŋgá,4
13,və́lɛ̀ðɛ̀,806,vəlɛð,259
14,àjú,15,aj,5
15,d̪úɾɔ̀,30,d̪uɾ,12
16,kə́nɔ̀nà,29,nɔn,15
17,ìmìdánŋwɔ́,19,ìmìdán,7
18,jáŋú,76,aŋ,30
19,láró,30,lárɔ́,10
20,ðà,1884,"ŋgá, ð",723
21,lɛ́ĺ,40,ŋgá,10
22,və̀lɛ̀ðɔ́,779,vəlɛð,273
23,ábŕó,18,abr,3
24,t̪ɔ́wɜ̀nì,1380,t̪ɔ́wɜ̀nì,485
25,ìrɔ́,63,dìjɔ́,25
26,làŋúl,25,aŋ,3
27,lə̀və̀lɛ̀ðɜ́l,39,vəlɛð,3
28,mùðù,73,mùðù,34
29,ŋgá,2657,ŋgá,1001
30,íjɛ̀,57,ij,28
31,úɽì,206,ðùɽì(1),101
32,ɛ́lɔ́,82,ɛ́lɔ́(1),41
33,àvàn,10,àvàn,6
34,àɾò,32,àɾò,7
35,kìcə̀lò,399,icəlo,144
36,dòɾè,35,dòɾè,9
37,lìcə̀lò,320,icəlo,117
38,ŋgál,55,ŋgá,22
39,nɔ́nà,1934,nɔn,697
40,kɜ́lùŋú,11,kɜ́lù,4
41,ŋgɛ́ĺ,52,ŋgá,12
42,jə́t̪ə̀vɛ̀,8,t̪əv,1
43,ðár,300,ðár,88
44,jàŋcí,16,aŋc,6
45,ápɾíɲá,197,àpɾí,97
46,ŋɛ́nɛ̀,156,<CL>ɛ́nɛ̀,64
47,rmàn,13,ðə̀màn,4
48,rɔ̀là,33,ɔla,12
49,kúkù,1815,kúkù,872
50,kápìt̪ɔ̀,15,ap-it̪,2
51,kákàŋú,139,kákà,66
52,índɔ̀,61,ìndò,23
53,lʊ̀tú,16,lʊ̀tú,5
54,íŋgà,26,ŋgá,10
55,ðàŋàlà,133,ðàŋàl,60
56,ɛ́là,455,ɛ̀là(1),162
57,lə̀t̪ə̀vɛ̀,13,t̪əv,3
58,ágàŋɛ̂,7,ŋgá,1
59,və̀lɛ̀ðɛ̀,144,vəlɛð,60
60,ɛ̀làɽà,96,ɛ̀làɽà,36
61,kə̀ðìɲɔ́,53,ðiɲ(1),13
62,bácʊ̂m,25,bàcʊ̂m,11
63,ràló,19,ŋgá,7
64,rìcə̀lò,36,icəlo,12
65,àn,1303,àn,609
66,ɔ́ɟɔ́,277,ɔ́ɟɔ́,125
67,kál,45,ŋgá,27
68,nd̪ɔ̀bà,3891,nd̪ɔ̀bà,1390
69,kícə̀lò,37,icəlo,21
70,ìlí,19,ìlí,5
71,àpɾí,527,àpɾí,253
72,jà,628,"ŋgá, j",290
73,ágá,61,ŋgá,29
74,d̪ùɾɔ́,46,d̪uɾ,23
75,làɾt̪ìðì,19,aɾt̪-ið,5
76,ìjɔ̀,210,ðìjɔ̀,82
77,lálèŋɔ́,8,aleŋ,3
78,ŋgɛ́l,97,ŋgá,21
79,ŋə̀t̪ə̀vɛ̀,8,t̪əv,2
80,kùmɔ̀t̪ɔ̀,6,um-ɛt̪,4
81,nátɛ́,7,ŋgá,5
82,já,572,ŋgá,253
83,ðáŋàlà,157,ðàŋàl,62
84,íŋgátɛ́,38,ŋgá,12
85,ɲàĺl,14,ŋgá,2
86,ðə́t̪ə́vá,28,t̪əv,7
87,là,2550,ŋgá,948
88,mɛ́rðàt̪ɛ̀,3,mɛrð-at̪,1
89,ŋáɽə̀ŋàt̪à,12,aɽəŋat̪,4
90,ŋávɛ́,266,ŋáó,112
91,ɲálá,38,ŋgá,18
92,ɔ́ɟɔ́ŋá,52,ɔ́ɟɔ́,18
93,lə́r̀lɛ̀ɲíl,9,rlɛɲ,4
94,búlì,26,bul,13
95,álpúɾɔ́,65,álpʊ́ɾɔ́,22
96,òɾà,47,àɾò,27
97,ŋàɽàt̪ɛ̀,51,aɽ-at̪,26
98,ùɽɟɛ̀n,13,ùɽɟɛ̀n,4
99,kɔ́lɔ̀t̪ɔ̀,7,ɔlɔt̪ɔ,2
100,kə̀t̪ìjí,10,t̪(2)-ij,4
101,órá,29,órá,14
102,káɽə̀ŋàt̪à,7,aɽəŋat̪,2
103,bɔ́lú,5,bɔl,1
